SOC,EFFECTIVE_DATE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,SPECIAL_DAYS_SET_CODE,PRODUCT_TYPE,SOC_STATUS,SALE_EFF_DATE,SALE_EXP_DATE,SOC_DESCRIPTION,SERVICE_TYPE,SOC_LEVEL_CODE,CUSTOMER_TYPE,FOR_SALE_IND,INTERNAL_TYPE,PP_REPLACEMENT,REPLACED_PP,MAX_ALLOWED_CTNS,MIN_REQ_CTNS,MINIMUM_NO_MONTHS,MIN_REQ_USG_CHRG,ET_MAX_PEN_RATE,ET_MIN_PEN_RATE,PP_MIN_MOU_PRD_IND,MIN_REQ_USG_LEVEL,ICC_CHARGE_IND,DLR_COMMISSION_IND,DLR_RESIDUAL_IND,EXPIRATION_DATE,BILL_PRESENT_IND,COVERAGE_TYPE,AREA_CODE,EHA_FEE_IND,ROAM_ADMIN_FEE_IND,RERATE_SCHG_IND,ESTBL_CHARGE_IND,CUSTOMER_SUBTYPE,SOC_QTY_IND,RELATED_EQUIPMENT,ELA_FEE_IND,WELCOME_MESSAGE_TYPE,PRODUCT_SUB_TYPE,ROLLOVER_TYPE_IND,SOC_MODE,SL_MAX_AMOUNT,SL_MIN_AMOUNT,SL_DEPOSIT_AMT,MOBILE_TECHNOLOGY,MAX_MEMBERS,IRDB_TYPES,ILD_ELIG_IND,BEYOND_VOICE_IND,GEN_ATTRIBUTE,PP_CATEGORY,OFFER_ID,OFFER_DESC,CSE_IND,OFFER_MGR,SOC_NETWORK,DATA_ONLY_IND,RIM_SERVICE_NAME,SERVICE_CATEGORY,PPU_IND,CONTRACT_GRP_CD,UMTS_COMPATIBILITY,POOLING_PROFILE,POOLING_TYPE,SOC_MAGIC_TYPE,RETIRING_GRP_PP_ID,TIME_PERIOD_SOC,PUB_TO_ATLAS_IND,INSR_SOC_TYPE,RSTR_PP_IND,CNTR_TYPE,FILTER_ATTRIBUTES,INCL_MINS,THREEG_REQ_IND,M2AN_MAX_LINE_NO,MRC_PRICE_POINT,LTE_IND,SOC_MED_DESC,SOC_LONG_DESC,ALLOWANCE,UOM,PRORATION_IND,INTL_ROAM_ALLOWANCE,INTL_ROAM_PRORATION_IND,INTL_ROAM_UOM,ATL_ATTR_NAME,EXCLUDED_IMEI_TYPES,TITAN_OFFER_ID,SUBSCRIPTION_CLASS,TITAN_ELIG_IND,DATA_GROUP_IND,NATIONAL_IND,SOC_DURATION,AMSPRODUCT,SUBCLASS_ID, 
HPR3XXX1N,02-JAN-80,02-FEB-06,04-NOV-14,754926,NBI2  ,T1410,,DEF ,M,A,11-NOV-00,10-JUN-06,/FT HOME 900R PROMO                          ,P,C, ,N,,,,0,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,5,,Y,,CAP_MINS900;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,900,,,,,/FT HOME 900R PROMO                          ,,,,,,,,,,,*;,,,,,,, 
C16979544,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS 100,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 100,,,,,,,,,,,,,,,,,, 
STLD22SS ,02-JAN-80,31-AUG-07,04-NOV-14,11111,SE    ,T1410,1111,    ,M,A,11-NOV-00,,H GSM KY STATE LD,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,O,,N,N,,N,,,D,N,,  ,N,G,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,V2,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,H GSM KY STATE LD,,,,,,,,,,,*;,,,,,,, 
FP8NB0002,02-JAN-80,19-JUL-07,04-NOV-14,5555947,T1206 ,T1410,,DEF ,M,A,10-NOV-02,10-JUN-06,Family PN 2000R/3000          ,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,G,,,,M,5,,Y,,CAP_MINS2000;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,2000,,,,,Family PN 2000R/3000          ,,,,,,,,,,,*;,,,,,,, 
SAFN4N01 ,02-JAN-80,10-FEB-05,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,01-FEB-04,10-JUN-06,FT NGSM 600R 5KNW             ,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,G,,,,M,5,,Y,,VM:BASIC;BVM;CAP_MINS600;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,600,,,,,FT NGSM 600R 5KNW             ,,,,,,,,,,,*;,,,,,,, 
CB4      ,02-JAN-80,26-OCT-07,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,14-NOV-07,14-NOV-07,CB INDICATOR,R,P, ,N,,,,,,,,,,,,N,N,N,,,H,,,,,N,,,D,,,,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,NC,,,B,,,N,,,N,,,,,,,,,,CB INDICATOR,,,,,,,,,,,,,,,,,, 
BI09XA43W,02-JAN-80,03-FEB-06,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,10-JUN-05,01-JAN-09,BBBP1199RGN15000FIM2M,P,P, ,N,,,,6000,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,VM:BASIC;BVM;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,15000,,,,,BBBP1199RGN15000FIM2M,,,,,,,,,Z2@Z6@Z9,,,,,,,,, 
IRCP     ,02-JAN-80,30-JAN-08,04-NOV-14,11111,T1206 ,T1410,1111,    ,M,A,29-JUN-06,31-JAN-08,$19.99100INTRMCA,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,,,N,,,D,,,,N,,,,,G,,A1,Y,V,INTL;SOCCOMB;,,,,,,O,,,V2,,,,,,,,,,,,,A043;,,Y,,,,$19.99100INTRMCA,,,,,,,,,Z2@Z6@Z9@Z1,14035599,,Y,,,,,, 
CLM1XX17W,02-JAN-80,13-MAR-07,08-JUL-14,754883,T1206 ,T1406,,DEF ,M,A,11-NOV-00,10-JUN-06,RGN50,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,A1,Y,,,AAA,,,,,O,N,,V1,,STD,,,,,,,N,,,,VOICE_PP;CONSUMER;,50,,,,,RGN50,,,,,,,,,,,,,,,,,, 
REO5     ,02-JAN-80,13-NOV-07,08-JUL-14,70939259,T1206 ,T1406,,    ,M,A,22-JUL-08,22-JUL-08,Dobson RED EON SOC,R,P, ,Y,,,,,,,,,,,,N,N,N,,,H,,,,,N,,,D,,,,N,,,,,M,,,Y,V,RESSOCREM;OK_RESTRICT;,,,,,,D,,,NC,,,B,,,N,,,N,,,,A070;,,,,,,Dobson RED EON SOC,,,,,,,,,,,,,,,,,, 
DD05XXX1W,02-JAN-80,18-FEB-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,11-NOV-00,10-JUN-06,B2B DATA ACCESS 5MB,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,A1,Y,,FBF_XXX_DPP;,AAA,,,,,O,Y,,D1,,STD,,,,,,,,,,,DATA_VOICE;CONSUMER;,0,,,,,B2B DATA ACCESS 5MB,,,,,,,,,,,,,,,,,, 
MWCN9001 ,02-JAN-80,14-JUL-03,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,15-JAN-03,10-JUN-06,Nation 2000                   ,P,C, ,Y,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,VM:BASIC;BVM;FBF_CMB_NFR;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,2000,,,,,Nation 2000                   ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
ZDDV1V001,02-JAN-80,07-OCT-09,24-NOV-14,11111,T1206 ,uj178,1111,DEF ,M,A,08-OCT-09,23-JUN-10,DATA VOICE PLAN,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,G,,A1,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_UNICEL_KS;FBF_PRD_NFR;,AAA,,,N,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,0,,,,,DATA VOICE PLAN,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
003000000,02-JAN-80,11-AUG-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,02-JAN-80,,AIR-SMS .03/.00/.00 ,P,C,,N,O,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,,AAA,,,,,O,,,V1,,,,,,,,,,,,,,,,,,,AIR-SMS .03/.00/.00 ,,,,,,,,,,,,,,,,,, 
SMTLTE4D1,02-JAN-80,28-DEC-11,08-JUL-14,2342,PPOL  ,T1406,,    ,M,A,22-JAN-12,,DATAPRO3GB LTE NV,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,,,N,,,D,,,,N,,,,,G,,P9@P6,Y,B,REM_IF_DATAGRP_DUP;B2B_TYPE;RTP;UPG_EQU_MRC_CALC;CRU_RESTRICTED;SPEED_TIER;,,,,,,O,,,D1,N,,B,,,N,,,N,,N,,A036;,,N,,0,Y,DataPro 3GB for Smartphone 4G LTE without Visual Voicemai,"3 gigabytes of domestic data usage, $10 for each additional 1 gigabytes of data usage. Unlimited domestic data usage on the AT&T Wi-Fi Basic network. Discount Applies. No Visual Voicemail.",3,GB,N,0,N,,,,,,N,,,,,, 
FN6N00002,02-JAN-80,19-JUL-07,04-NOV-14,11111,PSNBIP,T1410,,DEF ,M,A,14-NOV-04,10-JUN-06,0102198050RUNW,P,C, ,Y,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,G,,,,M,5,,Y,,ELIG_TYPE;CAP_MINS1250;,AAA,,,Y,,O,,,V1,,STD,,,,,1310NGB08,,,,,,VOICE_PP;CONSUMER;,0,,,,,0102198050RUNW,,,,,,,,,,,*;,,,,,,, 
GLPOL700 ,02-JAN-80,18-SEP-06,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,02-JAN-80,10-JUN-06,BASIC PLAN 75                 ,P,C,,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,A,,N,,,,,,,M,,,Y,,,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,,,,,,,BASIC PLAN 75                 ,,,,,,,,,,,,,,,,,, 
BACSMSO  ,02-JAN-80,06-OCT-09,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,20-OCT-09,,Text Msg Pay Per Use          ,O,C, ,Y,,,,,,,,,,,,N,N,N,,,H,,,,,N,,,D,,,,N,,,,,G,,,Y,B,RTP;FBF_XXX_PPU_SMS;,,1097446,SMS DEMO BAC PPU $0.10 MSG - BACSMSO,,,O,,,NC,Y,,B,,,,,,,,,,A066;,,,,,,Text Msg Pay Per Use          ,,,,,,,,,,,,,,,,,, 
DBNAT0481,02-JAN-80,18-DEC-07,04-NOV-14,754925,DOB2  ,T1410,,DEF ,M,A,11-NOV-07,10-FEB-08,National Plan,P,C, ,Y,,,,,0,0,0,0,0,N,,N,N,N,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,9,,Y,,ELIG_TYPE;,AAA,,,,,D,N,,V1,,RED,,,,,,,N,,,,VOICE_PP;CONSUMER;,0,,,,,National Plan,,,,,,,,,,,*;,,,,,,, 
BOBN2001 ,02-JAN-80,29-OCT-08,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,01-NOV-04,10-JUN-06,BX NAT 4200R UMM UNW,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1@13@14@6,Y,,B2B_TYPE;CAP_MINS4200;VM:BASIC;BVM;,AAA,,,N,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,4200,,,,,BX NAT 4200R UMM UNW,,,,,,,,,,,,,,,,,, 
WATRSC62 ,02-JAN-80,27-AUG-09,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,02-JAN-80,10-JUN-06,UNPLN ROAM GUARANTEE,P,C, ,N,,,,,0,12,0,0,0,N,,N,N,N,,,H,,,,,N,,,D,,N,,,G,,,,M,20,,Y,,,AAA,,,N,,O,,,V1,,175,,,,,,,,,,,VOICE_PP;CONSUMER;,0,,,,,UNPLN ROAM GUARANTEE,,,,,,,,,,,*;,,,,,,, 
TXT1     ,02-JAN-80,25-SEP-08,04-NOV-14,11111,T1206 ,T1410,1111,    ,M,A,11-FEB-05,26-SEP-08,TEXT MESSAGE 50 PACKAGE    ,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,N,,N,,,D,,,,N,,,,,M,,,Y,B,REM_IF_DATAGRP_DUP;,,,,,,O,,,D3,,,,,,,,,,,,,A066;,,,,,,TEXT MESSAGE 50 PACKAGE    ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
ZD3RN3V01,02-JAN-80,02-FEB-06,04-NOV-14,754926,T1206 ,T1410,,DEF ,M,A,23-NOV-09,23-JUN-10,GRTR FREEDOM 1000 R,P,C, ,Y,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL;CONV_ZOD_ALIST;,AAA,,,,,O,N,,V1,,STD,,,V,,,,,,,,VOICE_PP;CONSUMER;,1000,,,,,GRTR FREEDOM 1000 R,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
ZDCP07V01,02-JAN-80,02-FEB-06,24-NOV-14,754926,T1206 ,uj178,,DEF ,M,A,23-NOV-09,23-JUN-10,BUSINESS VALUE PLUS 30,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL4;,AAA,,,,,O,N,,V1,,STD,,,V,,,,,,,,VOICE_PP;CONSUMER;,350,,,,,BUSINESS VALUE PLUS 30,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
ZDCP5XV01,02-JAN-80,02-FEB-06,04-NOV-14,754926,T1206 ,T1410,,DEF ,M,A,23-NOV-09,23-JUN-10,PCS PARTNER PLAN1,P,C, ,Y,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL;,AAA,,,,,O,N,,V1,,STD,,,V,,,,,,,,VOICE_PP;CONSUMER;,0,,,,,PCS PARTNER PLAN1,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
RLTEEB11 ,02-JAN-80,04-OCT-11,08-JUL-14,701303,PPOL  ,T1406,,    ,M,A,20-OCT-11,,LTE SMT ENTBDL2 VVM,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,,,N,,,D,,,,N,,,,,G,,P9@P6,Y,B,B2B_TYPE;RTP;UPG_EQU_MRC_CALC;IRU_RESTRICTED;SPEED_TIER;REM_IF_DATAGRP_DUP;,,,,,,O,,,D1,N,,B,,,N,,,N,,N,,A036;A076;,,N,,0,Y,Unlim data for 4G LTE Smartphones w/Visual Voice Mail ,Unlimited domestic data usage on the AT&T Wi-Fi Basic Network. $30.00. Visual Voice Mail. Only for use with 4G LTE Smartphones.,9999,GB,N,0,N,,,,,,N,,,,,, 
EASED512 ,02-JAN-80,08-SEP-11,04-NOV-14,70939708,T1206 ,T1410,,    ,M,A,20-SEP-11,,EASELicen9999U 512,R,C, ,Y,,,,,,,,,,,,N,Y,N,,,H,,,,,N,,,D,,,,N,,,,,G,,A1,Y,B,B2B_TYPE;RTP;UPG_EQU_MRC_CALC;IRU_RESTRICTED;SOCCOMB;,,,,,,O,,,M1,,,B,,,N,,,Y,,,RBS,A086;,,N,,0,,EASELicen9999U 512,,0,,N,0,N,,,Z2@Z6@Z9@Z1,,,N,,,,,, 
ZD67HAM04,02-JAN-80,04-FEB-06,24-NOV-14,754992,ZOD2A ,uj178,,DEF ,M,A,23-NOV-09,23-JUN-10,FAM MYCIR5SRTPK 500,P,C, ,N,,,,0,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,5,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL;CONV_ZOD_ALIST;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,500,,,,,FAM MYCIR5SRTPK 500,,,,,,,,,,,*;,,,,,,, 
ZDMLTRM31,02-JAN-80,02-FEB-06,24-NOV-14,754926,T1206 ,uj178,,DEF ,M,A,23-NOV-09,23-JUN-10,MILITARY SUSPEND PLN,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL4;CONV_ZOD_ALIST;FBF_PRD_NFR;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,0,,,,,MILITARY SUSPEND PLN,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
C96975090,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
ZDOMRMRLD,02-JAN-80,08-MAR-05,08-JUL-14,11111,ZOD4  ,T1406,1111,    ,M,A,02-JAN-80,,Home Toll 0,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,M,,,,,N,,,D,,,  ,,,,,,M,,,Y,V,RESSOCREM;CONV_VRZN;,,,,,,T,,,NC,,,,,,,,,,,,,A022;NOBUTTONS;,,,,,,Home Toll 0,,,,,,,,,,,,,,,,,, 
VADR     ,02-JAN-80,27-OCT-06,08-JUL-14,11111,CSM   ,T1406,1111,    ,M,A,01-NOV-05,03-NOV-06,VOICEDIAL *8,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,,,N,,,D,,,,N,V,,,,M,,,Y,V,RTP;,,,,,,T,,,V2,,,B,,,,,,,,,,A078;,,,,,,VOICEDIAL *8,,,,,,,,,,14308269,,Y,,,,,, 
ODNRNM013,02-JAN-80,15-JUN-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,16-JUN-05,09-JUL-13,ORGN250_500M/NW,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,B2B_TYPE;ELIG_TYPE;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,STD,,,,,,,,,,,,,,,,,ORGN250_500M/NW,,,,,,,,,,,,,,,,,, 
C96872930,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
LACNAC00 ,02-JAN-80,04-FEB-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,27-AUG-04,10-JUN-06,NTN P 1000R,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,VM:BASIC;BVM;CAP_MINS1000;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,1000,,,,,NTN P 1000R,,,,,,,,,,,,,,,,,, 
BTRMCP60 ,02-JAN-80,29-JUN-06,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,Roam Rate $0.60,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.60,,,,,,,,,,,,,,,,,, 
BTW17R69 ,02-JAN-80,29-JUN-06,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,Roam Rate $0.69,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.69,,,,,,,,,,,,,,,,,, 
BTSMSTR1 ,02-JAN-80,15-AUG-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,WIRELESS 60,P,C, ,N,,,,0,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,60,,,,,WIRELESS 60,,,,,,,,,,,,,,,,,, 
BTXX3AR34,02-JAN-80,03-AUG-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,REGIONAL ADVTG 350,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,350,,,,,REGIONAL ADVTG 350,,,,,,,,,,,,,,,,,, 
IMRO5    ,02-JAN-80,27-JAN-06,08-JUL-14,754883,NBI2  ,T1406,,    ,M,A,11-NOV-00,,MSA ROAMING,O,C, ,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,O,,,V2,,,B,,,,,,,,,,A023;NOBUTTONS;,,,,,,MSA ROAMING,,,,,,,,,,,,,,,,,, 
R71K167  ,02-JAN-80,07-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS 1K,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 1K,,,,,,,,,,,,,,,,,, 
E639     ,02-JAN-80,29-NOV-05,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,30-NOV-05,25-JAN-11,CCS - Available for Sale,R,C, ,N,,,,,,,,,,,,N,N,N,,,G,,,,,N,,,D,,,GG,N,,,,,M,,,Y,B,,,,,,,T,,,NC,,,,,,,,,,,,,A016;,,,,,,CCS - Available for Sale,,,,,,,,,,,,,,,,,, 
PH02XXX1N,02-JAN-80,06-JAN-06,04-NOV-14,754883,NBI2  ,T1410,,DEF ,M,A,11-NOV-00,10-JUN-06,B2B HOME POOL 2500,P,C, ,Y,,,,0,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,50,,Y,,ELIG_TYPE;B2B_TYPE;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,2500,,,,,B2B HOME POOL 2500,,,,,,,,,,,*;,,,,,,, 
R04335R  ,02-JAN-80,16-JAN-06,04-NOV-14,754883,T1206 ,T1410,,    ,M,A,11-NOV-00,10-JUN-06,NETWORK TOLL FREE,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,O,,N,N,,N,,,D,N,,  ,N,,,,,M,,,Y,V,,,,,,,T,,,V2,,,B,,,,,,,,,,A022;,,,,,,NETWORK TOLL FREE,,,,,,,,,Z2@Z6@Z9@Z1,14275449,,Y,,,,,, 
TRACELA  ,02-JAN-80,08-MAR-05,08-JUL-14,11111,INDGL ,T1406,1111,    ,M,A,11-NOV-00,,Expanded Home Area,O,C, ,Y,,,,,,,,,,,,N,N,N,,,D,,N,N,N,N,,,D,N,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,NC,,,,,,,,,,,,,A012;NOBUTTONS;,,,,,,Expanded Home Area,,,,,,,,,,,,,,,,,, 
SW357P7  ,02-JAN-80,07-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHT/WKNDS 3500,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHT/WKNDS 3500,,,,,,,,,,,,,,,,,, 
R04626147,02-JAN-80,07-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
CJUNQC24P,02-JAN-80,03-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,01-FEB-98,,NIGHTS & WEEKENDS UNL,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,S,,,,M,,,Y,V,ELIG_TYPE;RESSOCREM;FBF_XXX_UNL_NW;,,,,,,T,,,NC,,BLU,,,,,,,,,,,A054;NOBUTTONS;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
BTXXGB735,02-JAN-80,28-OCT-05,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,11-NOV-00,10-FEB-06,TDMA LOCAL 1400,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,1400,,,,,TDMA LOCAL 1400,,,,,,,,,,,,,,,,,, 
BTXXNP26 ,02-JAN-80,03-AUG-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,NATIONAL POOLED 500,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,B,,,,,,,,VOICE_PP;BUSINESS;,500,,,,,NATIONAL POOLED 500,,,,,,,,,,,,,,,,,, 
