SOC,EFFECTIVE_DATE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,SPECIAL_DAYS_SET_CODE,PRODUCT_TYPE,SOC_STATUS,SALE_EFF_DATE,SALE_EXP_DATE,SOC_DESCRIPTION,SERVICE_TYPE,SOC_LEVEL_CODE,CUSTOMER_TYPE,FOR_SALE_IND,INTERNAL_TYPE,PP_REPLACEMENT,REPLACED_PP,MAX_ALLOWED_CTNS,MIN_REQ_CTNS,MINIMUM_NO_MONTHS,MIN_REQ_USG_CHRG,ET_MAX_PEN_RATE,ET_MIN_PEN_RATE,PP_MIN_MOU_PRD_IND,MIN_REQ_USG_LEVEL,ICC_CHARGE_IND,DLR_COMMISSION_IND,DLR_RESIDUAL_IND,EXPIRATION_DATE,BILL_PRESENT_IND,COVERAGE_TYPE,AREA_CODE,EHA_FEE_IND,ROAM_ADMIN_FEE_IND,RERATE_SCHG_IND,ESTBL_CHARGE_IND,CUSTOMER_SUBTYPE,SOC_QTY_IND,RELATED_EQUIPMENT,ELA_FEE_IND,WELCOME_MESSAGE_TYPE,PRODUCT_SUB_TYPE,ROLLOVER_TYPE_IND,SOC_MODE,SL_MAX_AMOUNT,SL_MIN_AMOUNT,SL_DEPOSIT_AMT,MOBILE_TECHNOLOGY,MAX_MEMBERS,IRDB_TYPES,ILD_ELIG_IND,BEYOND_VOICE_IND,GEN_ATTRIBUTE,PP_CATEGORY,OFFER_ID,OFFER_DESC,CSE_IND,OFFER_MGR,SOC_NETWORK,DATA_ONLY_IND,RIM_SERVICE_NAME,SERVICE_CATEGORY,PPU_IND,CONTRACT_GRP_CD,UMTS_COMPATIBILITY,POOLING_PROFILE,POOLING_TYPE,SOC_MAGIC_TYPE,RETIRING_GRP_PP_ID,TIME_PERIOD_SOC,PUB_TO_ATLAS_IND,INSR_SOC_TYPE,RSTR_PP_IND,CNTR_TYPE,FILTER_ATTRIBUTES,INCL_MINS,THREEG_REQ_IND,M2AN_MAX_LINE_NO,MRC_PRICE_POINT,LTE_IND,SOC_MED_DESC,SOC_LONG_DESC,ALLOWANCE,UOM,PRORATION_IND,INTL_ROAM_ALLOWANCE,INTL_ROAM_PRORATION_IND,INTL_ROAM_UOM,ATL_ATTR_NAME,EXCLUDED_IMEI_TYPES,TITAN_OFFER_ID,SUBSCRIPTION_CLASS,TITAN_ELIG_IND,DATA_GROUP_IND,NATIONAL_IND,SOC_DURATION,AMSPRODUCT,SUBCLASS_ID, 
10NWCP002,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
GPRSXXX3C,02-JAN-80,08-FEB-06,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,01-FEB-98,10-JUN-06,GPRS SERVICE ONLY,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,,AAA,,,,,O,N,,D1,,STD,,,,,,,,,,,,,,,,,GPRS SERVICE ONLY,,,,,,,,,,,,,,,,,, 
ODNBRW008,02-JAN-80,15-JUN-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,16-JUN-05,,OBFRRGN1KM/NW,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,B2B_TYPE;ELIG_TYPE;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,STD,,,,,,,,,,,,,,,,,OBFRRGN1KM/NW,,,,,,,,,,,,,,,,,, 
RDTP7999N,02-JAN-80,13-APR-05,08-JUL-14,754992,T1206 ,T1406,,    ,M,A,11-NOV-00,,Data Services,N,C, ,Y,,,,,,,,,,,,N,Y,Y,,,G,,N,N,,N,,,D,N,,GG,N,,,,,M,,,Y,B,POOLEDDATA;RESSOCREM;FBF_XXX_LMT_GPR;,,44864,DGPRS POOL 40MB $79.99MRC $0.002KB ADDL - B,,,B,,,D2,N,,,1881,D,,,,,,,,,,,,,,Data Services,,,,,,,,,,,,,,,,,, 
QI3515S  ,02-JAN-80,04-DEC-06,08-JUL-14,754925,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,INCOLLECT DEFAULT TOLL $.35 FLAT             ,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,M,,N,N,,N,,,D,N,,  ,N,,,,,M,,,Y,V,,,,,,,T,,,NC,N,,B,,,N,,,N,,,,A022;,,,,,,INCOLLECT DEFAULT TOLL $.35 FLAT             ,,,,,,,,,,,,,,,,,, 
BTW13660S,02-JAN-80,29-JUN-06,04-NOV-14,754883,TDMA1 ,T1410,,,M,A,11-NOV-00,,Roam Rate $0.60,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,G,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.60,,,,,,,,,,,*;,,,,,,, 
BTXXLD13 ,02-JAN-80,28-OCT-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,REGIONAL ADVTG 200,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,004,,,,,,,,,,,VOICE_PP;CONSUMER;,200,,,,,REGIONAL ADVTG 200,,,,,,,,,,,,,,,,,, 
ODNR00015,02-JAN-80,15-JUN-05,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,16-JUN-05,,ORGN250,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,B2B_TYPE;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,STD,,,,,,,,,,,,,,,,,ORGN250,,,,,,,,,,,,,,,,,, 
BTXXFR110,02-JAN-80,03-AUG-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,FLAT RATE ADVTG 11,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,0,,,,,FLAT RATE ADVTG 11,,,,,,,,,,,,,,,,,, 
MN06XXX3N,02-JAN-80,23-JAN-06,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,11-NOV-00,10-JUN-06,/NATION 1500                                 ,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,1500,,,,,/NATION 1500                                 ,,,,,,,,,,,,,,,,,, 
